ВРЕМЯ,СУММА,КАТЕГОРИЯ
2017-04-28 01:58:00,-205.0,Еда
2017-04-28 22:43:00,-153.0,Еда
2017-04-28 22:43:00,-600.0,Интернет и телефон
2017-04-29 13:59:00,-265.0,Еда
2017-04-29 13:59:00,-5000.0,Путешествия
2017-04-29 14:43:00,-545.0,Путешествия
2017-04-29 14:43:00,50000.0,Доходы
2017-04-29 14:49:00,-65170.0,Путешествия
2017-04-29 17:30:00,-700.0,Путешествия
2017-04-29 18:54:00,-912.0,Путешествия
2017-04-30 07:15:00,-480.0,Путешествия
2017-04-30 08:16:00,-300.0,Путешествия
2017-04-30 13:43:00,-26700.0,Путешествия
2017-04-30 13:43:00,-100.0,Путешествия
2017-04-30 17:20:00,-600.0,Путешествия
2017-05-01 07:52:00,-1300.0,Путешествия
2017-05-01 10:53:00,-2500.0,Путешествия
2017-05-01 10:54:00,-50.0,Путешествия
2017-05-01 16:30:00,-600.0,Путешествия
2017-05-01 20:39:00,-342.0,Путешествия
2017-05-02 15:00:00,-300.0,Путешествия
2017-05-02 15:00:00,-150.0,Путешествия
2017-05-02 15:00:00,-1140.0,Путешествия
2017-05-02 15:00:00,-135.0,Путешествия
2017-05-03 12:21:00,-1130.0,Путешествия
2017-05-03 12:21:00,-1050.0,Путешествия
2017-05-03 13:00:00,-100.0,Путешествия
2017-05-03 15:04:00,-375.0,Путешествия
2017-05-03 17:03:00,-520.0,Путешествия
2017-05-04 16:36:00,-800.0,Путешествия
2017-05-04 16:36:00,-780.0,Путешествия
2017-05-04 16:38:00,-1300.0,Путешествия
2017-05-04 16:39:00,-680.0,Путешествия
2017-05-04 16:39:00,-260.0,Путешествия
2017-05-04 16:39:00,-350.0,Путешествия
2017-05-04 16:39:00,-1000.0,Путешествия
2017-05-05 08:15:00,-525.0,Путешествия
2017-05-05 08:15:00,-800.0,Путешествия
2017-05-05 08:15:00,-325.0,Путешествия
2017-05-05 08:15:00,-660.0,Путешествия
2017-05-05 08:15:00,-500.0,Путешествия
2017-05-05 08:15:00,-1000.0,Путешествия
2017-05-06 08:15:00,-800.0,Путешествия
2017-05-06 08:15:00,-1500.0,Путешествия
2017-05-06 12:11:00,-650.0,Путешествия
2017-05-06 12:11:00,-1115.0,Путешествия
2017-05-06 12:11:00,-500.0,Путешествия
2017-05-07 05:45:00,-750.0,Путешествия
2017-05-09 09:08:00,-1900.0,Еда
2017-05-09 09:08:00,15660.0,Доходы
2017-05-09 09:08:00,13050.0,Доходы
2017-05-09 09:08:00,2349.0,Доходы
2017-05-09 09:08:00,2095.0,Доходы
2017-05-09 16:26:00,-780.0,Компьютер и программы
2017-05-09 23:16:00,-1700.0,Транспорт
2017-05-11 14:09:00,-2100.0,Еда
2017-05-14 10:30:00,-5000.0,Интернет и телефон
2017-05-15 21:28:00,-2400.0,Еда
2017-05-15 21:28:00,-840.0,Еда
2017-05-16 00:00:00,10000.0,Доходы
2017-05-17 11:41:00,-1000.0,Подарки
2017-05-17 20:51:00,-930.0,Еда
2017-05-18 22:45:00,-1050.0,Еда
2017-05-20 18:52:00,-1300.0,Развлечения
2017-05-23 16:34:00,-295.0,Еда
2017-05-23 16:34:00,-130.0,Еда
2017-05-24 14:04:00,-870.0,Еда
2017-05-25 14:28:00,10440.0,Доходы
2017-05-25 14:28:00,2540.0,Доходы
2017-05-26 00:51:00,-320.0,Еда
2017-05-26 00:51:00,-640.0,Развлечения
2017-05-26 22:29:00,-1300.0,Еда
2017-05-26 22:29:00,-2073.0,Еда
2017-05-27 11:40:00,-930.0,Развлечения
2017-05-28 22:49:00,-940.0,Еда
2017-05-30 21:15:00,-466.0,Еда
2017-05-30 21:15:00,-13200.0,Подарки
2017-05-31 19:16:00,-900.0,Еда
2017-05-31 19:16:00,-456.0,Еда
2017-06-02 18:59:00,-1986.0,Еда
2017-06-03 23:34:00,-700.0,Еда
2017-06-04 14:32:00,-81.0,Интернет и телефон
2017-06-05 20:43:00,22000.0,Доходы
2017-06-06 17:45:00,-1500.0,Еда
2017-06-07 20:35:00,-870.0,Еда
2017-06-08 19:28:00,-563.0,Еда
2017-06-09 09:52:00,2165.0,Доходы
2017-06-09 22:18:00,-250.0,Еда
2017-06-10 09:31:00,28700.0,Доходы
2017-06-10 09:31:00,3000.0,Доходы
2017-06-10 16:00:00,-54000.0,Комплектующие
2017-06-10 16:00:00,-1000.0,Комплектующие
2017-06-10 21:01:00,2165.0,Доходы
2017-06-10 21:01:00,-25000.0,Дом
2017-06-11 18:17:00,-1480.0,Еда
2017-06-11 18:48:00,-550.0,Стройматериалы
2017-06-11 18:48:00,-1400.0,Дом
2017-06-13 11:36:00,-324.0,Комплектующие
2017-06-13 15:46:00,-4000.0,Комплектующие
2017-06-13 19:06:00,-1250.0,Подарки
2017-06-13 19:06:00,-2800.0,Еда
2017-06-15 12:13:00,-1100.0,Дом
2017-06-15 12:13:00,-550.0,Стройматериалы
2017-06-16 13:39:00,10000.0,Доходы
2017-06-16 18:46:00,-1734.0,Еда
2017-06-16 20:01:00,-1700.0,Транспорт
2017-06-18 00:20:00,1950.0,Доходы
2017-06-19 01:55:00,-64000.0,Комплектующие
2017-06-19 12:33:00,-1450.0,Комплектующие
2017-06-20 23:49:00,-1250.0,Еда
2017-06-21 10:05:00,-1000.0,Интернет и телефон
2017-06-21 13:08:00,-2000.0,Автомобиль
2017-06-22 09:07:00,13050.0,Доходы
2017-06-22 20:11:00,-440.0,Комплектующие
2017-06-22 20:11:00,-400.0,Развлечения
2017-06-23 14:01:00,8300.0,Доходы
2017-06-23 15:11:00,-620.0,Комплектующие
2017-06-24 15:23:00,-590.0,Еда
2017-06-24 20:28:00,-2244.0,Еда
2017-06-25 11:22:00,-400.0,Комплектующие
2017-06-25 13:33:00,-1900.0,Комплектующие
2017-06-25 17:10:00,-1407.0,Дом
2017-06-25 20:22:00,-1260.0,Еда
2017-06-25 21:12:00,-590.0,Еда
2017-06-26 00:00:00,-1800.0,Развлечения
2017-06-26 00:00:00,-466.0,Транспорт
2017-06-27 12:48:00,10000.0,Доходы
2017-06-28 01:31:00,-1100.0,Еда
2017-06-28 13:01:00,-2000.0,Автомобиль
2017-06-28 15:51:00,10000.0,Доходы
2017-06-28 21:48:00,49678.0,Доходы
2017-06-28 21:48:00,21740.0,Доходы
2017-06-28 21:48:00,1679.0,Доходы
2017-06-29 20:11:00,-970.0,Еда
2017-06-30 11:20:00,-5000.0,Подарки
2017-06-30 20:05:00,-1313.0,Дом
2017-06-30 23:07:00,-460.0,Еда
2017-07-01 11:20:00,-25000.0,Дом
2017-07-03 12:44:00,-6980.0,Автомобиль
2017-07-03 21:46:00,-1020.0,Еда
2017-07-04 17:44:00,1159.0,Доходы
2017-07-05 18:01:00,-1100.0,Еда
2017-07-05 18:01:00,22000.0,Доходы
2017-07-06 19:59:00,-2148.0,Еда
2017-07-06 19:59:00,-324.0,Еда
2017-07-07 10:04:00,2498.0,Доходы
2017-07-07 14:52:00,-1300.0,Развлечения
2017-07-07 16:56:00,-760.0,Развлечения
2017-07-08 17:13:00,18817.0,Доходы
2017-07-08 17:13:00,251.0,Доходы
2017-07-08 17:13:00,13050.0,Доходы
2017-07-09 09:14:00,2095.0,Доходы
2017-07-09 13:13:00,-232.0,Транспорт
2017-07-09 14:45:00,-9735.0,Дом
2017-07-09 15:22:00,-334.0,Транспорт
2017-07-09 17:51:00,-3096.0,Дом
2017-07-09 17:51:00,-21151.0,Подарки
2017-07-09 19:34:00,-714.0,Еда
2017-07-10 20:19:00,-443.0,Еда
2017-07-11 12:56:00,18270.0,Доходы
2017-07-11 20:37:00,-5090.0,Комплектующие
2017-07-11 20:37:00,-418.0,Еда
2017-07-12 12:56:00,-550.0,Красота и здоровье
2017-07-12 13:49:00,-2200.0,Еда
2017-07-12 13:49:00,-650.0,Еда
2017-07-13 12:03:00,-770.0,Компьютер и программы
2017-07-13 16:14:00,12500.0,Доходы
2017-07-13 16:51:00,-1364.0,Еда
2017-07-14 16:31:00,5000.0,Доходы
2017-07-15 18:15:00,-88.0,Транспорт
2017-07-17 12:49:00,1245.0,Доходы
2017-07-17 12:49:00,442.0,Доходы
2017-07-17 19:31:00,-1392.0,Еда
2017-07-17 19:31:00,-485.0,Еда
2017-07-18 15:06:00,-9500.0,Одежда и обувь
2017-07-18 15:06:00,-195.0,Еда
2017-07-18 17:25:00,-783.0,Одежда и обувь
2017-07-18 17:25:00,-310.0,Транспорт
2017-07-18 17:25:00,-700.0,Транспорт
2017-07-18 18:44:00,-2134.0,Еда
2017-07-18 22:28:00,-100.0,Еда
2017-07-18 22:28:00,-15800.0,Дом
2017-07-20 17:16:00,-619.0,Еда
2017-07-20 17:16:00,-286.0,Еда
2017-07-20 21:44:00,-1911.0,Еда
2017-07-21 16:20:00,-2249.0,Дом
2017-07-22 10:09:00,6670.0,Доходы
2017-07-23 14:38:00,-2192.0,Еда
2017-07-23 18:31:00,-1076.0,Дом
2017-07-23 18:31:00,-1282.0,Еда
2017-07-23 18:31:00,-1700.0,Автомобиль
2017-07-23 18:31:00,-1740.0,Развлечения
2017-07-24 18:21:00,10000.0,Доходы
2017-07-26 20:15:00,-172.0,Еда
2017-07-26 20:15:00,-386.0,Еда
2017-07-27 17:30:00,-766.0,Еда
2017-07-28 13:08:00,-534.0,Еда
2017-07-29 17:39:00,-540.0,Еда
2017-07-29 17:39:00,-384.0,Еда
2017-07-30 23:31:00,-2790.0,Спорт
2017-08-01 19:06:00,-391.0,Еда
2017-08-01 19:06:00,-962.0,Еда
2017-08-02 10:18:00,-1700.0,Транспорт
2017-08-02 10:18:00,-760.0,Транспорт
2017-08-02 19:25:00,-25000.0,Дом
2017-08-03 10:16:00,-1000.0,Еда
2017-08-04 14:29:00,-1000.0,Автомобиль
2017-08-04 15:01:00,-700.0,Автомобиль
2017-08-04 15:54:00,-255.0,Развлечения
2017-08-04 15:54:00,-110.0,Еда
2017-08-04 16:31:00,23000.0,Доходы
2017-08-04 16:31:00,263.0,Доходы
2017-08-05 18:56:00,-658.0,Еда
2017-08-05 20:19:00,-383.0,Еда
2017-08-06 13:26:00,-970.0,Еда
2017-08-06 14:41:00,-116.0,Еда
2017-08-06 14:41:00,-422.0,Еда
2017-08-06 20:26:00,-26600.0,Путешествия
2017-08-06 20:26:00,-26600.0,Путешествия
2017-08-07 10:33:00,-6500.0,Дом
2017-08-08 17:06:00,-570.0,Подарки
2017-08-09 09:21:00,2165.0,Доходы
2017-08-10 11:23:00,-2300.0,Еда
2017-08-10 15:23:00,-447.0,Еда
2017-08-10 15:23:00,-688.0,Еда
2017-08-10 17:53:00,-142.0,Одежда и обувь
2017-08-11 13:01:00,29217.0,Доходы
2017-08-11 15:01:00,-392.0,Еда
2017-08-11 18:22:00,-440.0,Развлечения
2017-08-11 18:42:00,-1200.0,Хобби
2017-08-11 23:47:00,12500.0,Доходы
2017-08-12 11:35:00,-9100.0,Спорт
2017-08-12 17:05:00,-1600.0,Спорт
2017-08-13 15:40:00,-883.0,Еда
2017-08-13 19:14:00,-3500.0,Одежда и обувь
2017-08-14 20:00:00,-846.0,Еда
2017-08-15 15:00:00,-4240.0,Одежда и обувь
2017-08-15 15:42:00,-6000.0,Одежда и обувь
2017-08-15 16:50:00,-6641.0,Одежда и обувь
2017-08-15 17:10:00,-568.0,Еда
2017-08-15 18:11:00,-1105.0,Еда
2017-08-17 13:29:00,-465.0,Еда
2017-08-17 17:19:00,-375.0,Еда
2017-08-17 17:19:00,-279.0,Еда
2017-08-18 13:29:00,3000.0,Доходы
2017-08-18 13:47:00,1485.0,Доходы
2017-08-18 17:19:00,304.0,Доходы
2017-08-18 19:00:00,-1186.0,Еда
2017-08-18 19:00:00,-160.0,Здоровье
2017-08-18 21:33:00,-489.0,Здоровье
2017-08-19 15:58:00,-293.0,Еда
2017-08-19 18:56:00,-1000.0,Путешествия
2017-08-19 20:10:00,-800.0,Путешествия
2017-08-19 20:37:00,-230.0,Еда
2017-08-19 20:37:00,-180.0,Еда
2017-08-20 02:25:00,-750.0,Еда
2017-08-20 04:29:00,-30.0,Путешествия
2017-08-20 04:29:00,-70.0,Путешествия
2017-08-20 04:29:00,-128.0,Путешествия
2017-08-20 04:29:00,-40.0,Путешествия
2017-08-20 20:00:00,-25000.0,Дом
2017-08-21 09:04:00,-6300.0,Путешествия
2017-08-21 09:04:00,-423.0,Еда
2017-08-24 18:17:00,1485.0,Доходы
2017-08-24 18:17:00,10000.0,Доходы
2017-08-25 14:51:00,723.0,Доходы
2017-08-25 14:51:00,395.0,Доходы
2017-08-26 11:25:00,-525.0,Путешествия
2017-08-26 12:21:00,-1000.0,Путешествия
2017-08-26 12:21:00,-1210.0,Еда
2017-08-26 12:21:00,-1100.0,Путешествия
2017-08-26 19:03:00,2222.0,Доходы
2017-08-26 22:39:00,-974.0,Еда
2017-08-27 17:40:00,33383.0,Доходы
2017-08-28 13:52:00,-175.0,Еда
2017-08-28 14:18:00,-197.0,Еда
2017-08-28 16:44:00,-839.0,Еда
2017-08-28 23:12:00,-2000.0,Интернет и телефон
2017-08-29 11:09:00,-7800.0,Дом
2017-08-29 20:01:00,-2000.0,Комплектующие
2017-08-29 20:01:00,-8040.0,Комплектующие
2017-08-31 21:40:00,-168.0,Еда
2017-09-01 15:52:00,-794.0,Еда
2017-09-01 23:10:00,-3777.0,Еда
2017-09-03 00:08:00,-550.0,Транспорт
2017-09-03 00:08:00,-1140.0,Подарки
2017-09-03 00:08:00,-430.0,Еда
2017-09-03 15:54:00,-566.0,Транспорт
2017-09-03 16:38:00,-590.0,Транспорт
2017-09-04 15:51:00,-260.0,Еда
2017-09-05 09:48:00,-20000.0,Компьютер и программы
2017-09-05 13:47:00,-1231.0,Еда
2017-09-05 13:47:00,-2550.0,Еда
2017-09-05 15:39:00,28173.0,Доходы
2017-09-05 16:26:00,-25000.0,Подарки
2017-09-06 17:34:00,-235.0,Компьютер и программы
2017-09-06 22:40:00,-544.0,Еда
2017-09-07 12:45:00,-2565.0,Компьютер и программы
2017-09-07 20:03:00,2489.0,Доходы
2017-09-08 01:14:00,-2262.0,Компьютер и программы
2017-09-08 10:18:00,-323.0,Компьютер и программы
2017-09-08 14:56:00,-250.0,Еда
2017-09-09 09:12:00,2165.0,Доходы
2017-09-09 10:18:00,-565.0,Дом
2017-09-09 14:26:00,-1007.0,Еда
2017-09-09 18:47:00,-600.0,Еда
2017-09-10 09:59:00,1443.0,Доходы
2017-09-10 10:43:00,-900.0,Дом
2017-09-10 17:13:00,-1150.0,Еда
2017-09-10 17:13:00,-150.0,Развлечения
2017-09-10 23:16:00,-408.0,Еда
2017-09-11 18:13:00,-1067.0,Компьютер и программы
2017-09-11 18:13:00,-195.0,Еда
2017-09-12 14:02:00,12500.0,Доходы
2017-09-12 20:38:00,-814.0,Еда
2017-09-12 20:38:00,-630.0,Спорт
2017-09-12 20:38:00,-529.0,Еда
2017-09-13 09:30:00,38.0,Доходы
2017-09-13 09:30:00,2478.0,Доходы
2017-09-13 09:30:00,2743.0,Доходы
2017-09-13 11:47:00,-1700.0,Транспорт
2017-09-13 13:07:00,-2055.0,Комплектующие
2017-09-14 09:22:00,-920.0,Еда
2017-09-14 11:47:00,-509.0,Еда
2017-09-15 14:11:00,-270.0,Еда
2017-09-16 11:18:00,-12651.0,Доходы
2017-09-16 22:38:00,-2075.0,Еда
2017-09-16 22:38:00,-630.0,Спорт
2017-09-17 18:48:00,-22660.0,Спорт
2017-09-17 22:00:00,-639.0,Еда
2017-09-18 00:47:00,500.0,Доходы
2017-09-19 19:17:00,-1719.0,Еда
2017-09-20 15:41:00,-19440.0,Компьютер и программы
2017-09-20 22:41:00,-630.0,Спорт
2017-09-21 15:51:00,3320.0,Доходы
2017-09-21 20:01:00,-375.0,Еда
2017-09-22 18:53:00,-728.0,Еда
2017-09-23 00:02:00,-294.0,Еда
2017-09-23 00:02:00,-390.0,Еда
2017-09-23 11:19:00,15000.0,Доходы
2017-09-24 18:58:00,-1253.0,Еда
2017-09-25 15:06:00,-1000.0,Подарки
2017-09-25 19:25:00,-1700.0,Спорт
2017-09-25 22:57:00,-1563.0,Красота и здоровье
2017-09-26 13:37:00,10000.0,Доходы
2017-09-26 14:48:00,-210.0,Еда
2017-09-27 00:54:00,-225.0,Красота и здоровье
2017-09-27 11:24:00,1573.0,Доходы
2017-09-27 15:06:00,-1800.0,Дом
2017-09-27 18:19:00,-1415.0,Еда
2017-09-28 21:36:00,-990.0,Дом
2017-09-29 14:21:00,-250.0,Еда
2017-09-29 20:09:00,-25000.0,Дом
2017-09-30 17:51:00,-3200.0,Одежда и обувь
2017-09-30 17:51:00,-1099.0,Одежда и обувь
2017-10-01 21:13:00,-1897.0,Еда
2017-10-02 13:22:00,-737.0,Еда
2017-10-02 15:24:00,-300.0,Еда
2017-10-02 20:02:00,-400.0,Подарки
2017-10-05 13:51:00,28173.0,Доходы
2017-10-05 15:43:00,-760.0,Транспорт
2017-10-05 15:43:00,-285.0,Еда
2017-10-06 15:43:00,2198.0,Доходы
2017-10-06 23:35:00,-1085.0,Еда
2017-10-06 23:35:00,-589.0,Еда
2017-10-06 23:35:00,-1700.0,Транспорт
2017-10-07 16:54:00,-350.0,Еда
2017-10-07 16:54:00,-130.0,Еда
2017-10-07 18:33:00,-118.0,Комплектующие
2017-10-07 18:53:00,-3092.0,Комплектующие
2017-10-07 19:05:00,-720.0,Дом
2017-10-07 19:05:00,-1024.0,Еда
2017-10-08 18:33:00,-117.0,Комплектующие
2017-10-08 19:24:00,-684.0,Еда
2017-10-09 20:09:00,-1500.0,Обучение
2017-10-09 23:03:00,-170.0,Компьютер и программы
2017-10-10 23:39:00,-1317.0,Еда
2017-10-11 14:56:00,72000.0,Доходы
2017-10-11 14:56:00,13000.0,Доходы
2017-10-11 15:13:00,-390.0,Еда
2017-10-11 22:11:00,-1142.0,Еда
2017-10-12 15:13:00,-284.0,Еда
2017-10-12 16:14:00,-3550.0,Украшения
2017-10-12 17:53:00,-353.0,Комплектующие
2017-10-13 09:32:00,-300.0,Еда
2017-10-13 12:17:00,12500.0,Доходы
2017-10-14 13:35:00,-550.0,Красота и здоровье
2017-10-14 21:32:00,-431.0,Еда
2017-10-15 10:05:00,-2700.0,Спорт
2017-10-15 13:35:00,-2518.0,Еда
2017-10-16 15:53:00,-981.0,Еда
2017-10-18 11:25:00,1755.0,Доходы
2017-10-18 11:25:00,906.0,Доходы
2017-10-18 20:36:00,-722.0,Здоровье
2017-10-20 13:00:00,-185.0,Еда
2017-10-20 16:09:00,-80.0,Еда
2017-10-20 16:36:00,-222.0,Подарки
2017-10-20 17:31:00,-1645.0,Еда
2017-10-21 12:59:00,-2736.0,Комплектующие
2017-10-21 16:09:00,-200.0,Еда
2017-10-21 16:09:00,-250.0,Еда
2017-10-22 14:38:00,-969.0,Еда
2017-10-22 20:22:00,-290.0,Транспорт
2017-10-22 20:22:00,-2700.0,Спорт
2017-10-23 00:58:00,-216.0,Транспорт
2017-10-23 12:38:00,2880.0,Доходы
2017-10-23 13:51:00,-341.0,Комплектующие
2017-10-23 17:09:00,-1204.0,Еда
2017-10-23 17:17:00,-100.0,Еда
2017-10-24 21:34:00,-1500.0,Подарки
2017-10-25 19:48:00,-1500.0,Дом
2017-10-26 10:46:00,-400.0,Спорт
2017-10-26 18:58:00,-284.0,Еда
2017-10-26 20:02:00,-5500.0,Одежда и обувь
2017-10-26 21:50:00,-700.0,Еда
2017-10-27 02:24:00,11573.0,Доходы
2017-10-27 10:44:00,15000.0,Доходы
2017-10-27 16:40:00,-850.0,Еда
2017-10-29 19:43:00,-286.0,Транспорт
2017-10-30 00:53:00,-2700.0,Спорт
2017-10-30 00:53:00,-270.0,Транспорт
2017-10-31 17:00:00,-166.0,Здоровье
2017-10-31 17:00:00,-899.0,Еда
2017-11-01 17:49:00,-390.0,Еда
2017-11-02 17:27:00,-420.0,Еда
2017-11-03 14:23:00,103173.0,Доходы
2017-11-03 14:42:00,-220.0,Еда
2017-11-03 19:22:00,2638.0,Доходы
2017-11-03 20:56:00,-1890.0,Еда
2017-11-04 13:12:00,-2700.0,Спорт
2017-11-04 13:12:00,-25000.0,Подарки
2017-11-04 17:38:00,-1827.0,Еда
2017-11-05 16:14:00,-1190.0,Еда
2017-11-05 16:14:00,-861.0,Еда
2017-11-06 20:06:00,-272.0,Транспорт
2017-11-06 23:37:00,-224.0,Транспорт
2017-11-06 23:37:00,-2700.0,Спорт
2017-11-07 14:52:00,-1500.0,Подарки
2017-11-07 15:48:00,-250.0,Еда
2017-11-08 17:23:00,-759.0,Еда
2017-11-08 17:54:00,-2900.0,Еда
2017-11-09 12:36:00,-453.0,Здоровье
2017-11-09 22:07:00,72000.0,Доходы
2017-11-09 22:07:00,13000.0,Доходы
2017-11-10 00:17:00,1443.0,Доходы
2017-11-10 11:24:00,-25000.0,Дом
2017-11-10 12:38:00,12500.0,Доходы
2017-11-10 19:51:00,-295.0,Еда
2017-11-11 12:31:00,-22757.0,Комплектующие
2017-11-11 12:31:00,19000.0,Доходы
2017-11-11 13:38:00,-680.0,Дом
2017-11-11 15:16:00,-10000.0,Подарки
2017-11-11 15:16:00,-830.0,Красота и здоровье
2017-11-11 18:20:00,-1000.0,Компьютер и программы
2017-11-11 21:13:00,-200.0,Компьютер и программы
2017-11-11 22:33:00,-300.0,Подарки
2017-11-11 22:53:00,-307.0,Комплектующие
2017-11-13 20:53:00,-1433.0,Здоровье
2017-11-13 20:53:00,-4900.0,Украшения
2017-11-14 21:01:00,-1332.0,Еда
2017-11-14 21:01:00,-398.0,Еда
2017-11-16 14:28:00,-11040.0,Путешествия
2017-11-16 16:26:00,-315.0,Еда
2017-11-17 00:51:00,558.0,Доходы
2017-11-17 00:51:00,1035.0,Доходы
2017-11-17 00:51:00,974.0,Доходы
2017-11-17 14:28:00,-180.0,Еда
2017-11-18 00:51:00,-7800.0,Развлечения
2017-11-18 16:55:00,-33000.0,Путешествия
2017-11-19 14:38:00,-1672.0,Еда
2017-11-20 13:36:00,-13528.0,Компьютер и программы
2017-11-20 13:36:00,-2535.0,Подарки
2017-11-22 20:42:00,2960.0,Доходы
2017-11-23 11:51:00,32000.0,Доходы
2017-11-23 12:51:00,-720.0,Компьютер и программы
2017-11-23 18:40:00,15000.0,Доходы
2017-11-23 20:23:00,11573.0,Доходы
2017-11-23 21:06:00,-653.0,Еда
2017-11-23 21:06:00,-150.0,Еда
2017-11-24 00:35:00,-19200.0,Путешествия
2017-11-24 14:12:00,-230.0,Еда
2017-11-24 14:12:00,-105.0,Компьютер и программы
2017-11-24 20:22:00,-2130.0,Еда
2017-11-24 20:45:00,-1615.0,Обучение
2017-11-24 21:46:00,-10000.0,Подарки
2017-11-25 12:26:00,-782.0,Комплектующие
2017-11-25 14:25:00,-5462.0,Компьютер и программы
2017-11-25 17:36:00,-8200.0,Спорт
2017-11-25 19:09:00,-3427.0,Одежда и обувь
2017-11-25 19:32:00,-1159.0,Еда
2017-11-25 20:31:00,-1300.0,Одежда и обувь
2017-11-25 21:21:00,-655.0,Дом
2017-11-25 21:21:00,-1200.0,Дом
2017-11-27 00:06:00,-265.0,Транспорт
2017-11-27 00:06:00,-11040.0,Спорт
2017-11-27 00:06:00,-2700.0,Спорт
2017-11-27 00:35:00,-233.0,Транспорт
2017-11-27 16:25:00,-6280.0,Путешествия
2017-11-27 19:14:00,-2377.0,Еда
2017-11-28 11:26:00,-831.0,Дом
2017-11-28 16:46:00,-1692.0,Еда
2017-11-29 17:14:00,-279.0,Транспорт
2017-11-29 17:14:00,-2600.0,Спорт
2017-11-29 17:14:00,-288.0,Транспорт
2017-11-30 00:35:00,-650.0,Развлечения
2017-11-30 20:19:00,-270.0,Еда
2017-11-30 20:19:00,-557.0,Еда
